CIF,Date,Type
PCKDTH82L44E967N,2021-09-14,Pfizer
CLMDWN76E64L105N,2021-08-12,Pfizer
STLSNL55P30E537Q,2021-03-27,Astrazeneca
STLSNL55P30E537Q,2020-07-20,Pfizer
FLRCLS87M29I936O,2020-05-17,Pfizer
FLRCLS87M29I936O,2020-01-20,Moderna
BRKPRC73A50B608C,2021-10-04,Moderna
FLDLSU85S24H265W,2020-03-24,Johnson & Johnson
YRYRLA94L13G204N,2021-01-21,Moderna
PRCRTR79L29L270U,2020-06-20,Pfizer
MRTJSS58A07H134Q,2021-02-12,Astrazeneca
MRODRH93M56M384G,2020-01-17,Pfizer
BSTGLD89M31M371Q,2021-05-06,Johnson & Johnson
BSTGLD89M31M371Q,2020-09-08,Astrazeneca
CPRJHN86P01B167P,2020-09-28,Johnson & Johnson
YNGWLM78P15H590G,2020-07-12,Astrazeneca
MWNLCS65P09L625X,2021-04-25,Johnson & Johnson
LPSMGR93P42C533G,2020-07-03,Astrazeneca
TMPDNS94M57C901C,2020-01-31,Astrazeneca
TMPDNS94M57C901C,2020-09-01,Pfizer
MCGSNY98M10A537X,2020-01-13,Astrazeneca
SHLHRD51E19C941J,2021-08-06,Pfizer
WDWJNN67T25L440J,2021-07-10,Astrazeneca
WDWJNN67T25L440J,2020-05-13,Johnson & Johnson
MLLNDI78C68A122T,2020-01-05,Johnson & Johnson
PLLNHL78D22G311I,2020-02-24,Moderna
DDYNCY55H68G331W,2021-04-16,Johnson & Johnson
DDYNCY55H68G331W,2021-09-22,Astrazeneca
MTCKST02A69E784W,2021-09-13,Johnson & Johnson
GLLJRM87C31G580R,2020-03-30,Pfizer
GNZJMM62R30B198S,2021-07-12,Astrazeneca
FRSRTI90B64C539A,2020-10-01,Johnson & Johnson
SFSSNT03B58I357V,2020-11-16,Moderna
SFSSNT03B58I357V,2020-04-18,Astrazeneca
MRSTMY83B23B686W,2021-08-24,Moderna
MRSTMY83B23B686W,2020-02-14,Johnson & Johnson
SMTNRW84T12I192Q,2020-11-13,Astrazeneca
NDRSLY95E49A745P,2020-11-10,Johnson & Johnson
NDRSLY95E49A745P,2020-07-13,Astrazeneca
FNKCRL68P25D666Z,2020-03-08,Moderna
FNKCRL68P25D666Z,2020-11-05,Johnson & Johnson
KNGRSL57M27L167F,2020-12-05,Astrazeneca
KNGRSL57M27L167F,2021-05-02,Pfizer
FRSHLN61R41B038O,2021-07-15,Johnson & Johnson
SPNJHN87T10F976U,2021-05-10,Pfizer
SPNJHN87T10F976U,2020-04-07,Astrazeneca
MCNDNY66H20C974L,2020-03-03,Johnson & Johnson
DNLRLD97R10E618V,2020-04-28,Johnson & Johnson
RSNJSN91R25L734J,2020-03-20,Moderna
DVDKHL98S44G111E,2021-04-14,Johnson & Johnson
HFNLNC51R06F846Z,2020-08-16,Astrazeneca
HFNLNC51R06F846Z,2021-11-08,Moderna
THMJTH73T54B844U,2020-03-15,Johnson & Johnson
SKNJPH51S02C500E,2020-01-31,Pfizer
SKNJPH51S02C500E,2020-01-11,Astrazeneca
PRCMHL59T49G802A,2020-10-17,Moderna
BRCMRY59A65H294I,2020-03-14,Johnson & Johnson
LLTLND50C14D853V,2021-10-19,Pfizer
LLTLND50C14D853V,2020-09-27,Pfizer
SHETMY52C08H406D,2020-03-26,Moderna
LPPDLD70A03H026E,2020-07-10,Johnson & Johnson
WHTRSL88M48G273U,2021-02-03,Astrazeneca
WHTRSL88M48G273U,2021-09-24,Astrazeneca
SNCRHR70E02I612L,2021-03-19,Astrazeneca
HNYRHR01R25H878A,2020-10-09,Johnson & Johnson
CLPJHN02H25H639J,2020-11-25,Johnson & Johnson
SMMNNA60C46H245N,2021-09-26,Johnson & Johnson
SMMNNA60C46H245N,2020-07-15,Astrazeneca
LIXJCK86C02L575K,2021-08-05,Moderna
SCHLYD54L59D277S,2020-04-15,Astrazeneca
SCHLYD54L59D277S,2021-03-05,Astrazeneca
STOTRY58M28A989V,2021-05-31,Moderna
STOTRY58M28A989V,2020-01-01,Pfizer
LZRLYD51S54E847D,2020-07-04,Johnson & Johnson
KTHMRA59R57C816R,2020-07-08,Pfizer
VGEZCK52A22H189U,2021-07-14,Johnson & Johnson
VGEZCK52A22H189U,2021-05-07,Astrazeneca
BRWCFF88E12F737N,2020-12-23,Moderna
KNSJNF91H43C691H,2020-10-24,Moderna
CRLCRY02E44E048J,2021-01-08,Johnson & Johnson
CRLCRY02E44E048J,2021-10-27,Pfizer
DVLVGN61S45F494C,2020-05-28,Astrazeneca
JRDRCE97M57L681R,2020-02-10,Astrazeneca
KNLSNE96A14I319G,2020-04-28,Moderna
KNLSNE96A14I319G,2021-04-21,Moderna
CHNMNG65R47H002C,2020-07-22,Moderna
HNSCLE92M26G447Q,2021-08-30,Pfizer
HNSCLE92M26G447Q,2020-02-12,Astrazeneca
GRNDRS80B51E374C,2020-08-02,Astrazeneca
FREDTH50S54B120C,2021-01-01,Moderna
FREDTH50S54B120C,2020-09-19,Astrazeneca
CLLJHN64C04F078U,2021-06-19,Johnson & Johnson
CLLJHN64C04F078U,2020-08-07,Johnson & Johnson
JNSCLD84P13A810G,2020-05-23,Astrazeneca
JNSCLD84P13A810G,2020-12-12,Astrazeneca
HSLLSE93H63M339H,2020-08-15,Astrazeneca
YNGMTN56H16E666B,2020-07-27,Pfizer
MRCRSO85P65A737K,2021-02-26,Astrazeneca
MRCRSO85P65A737K,2020-08-17,Moderna
GRCJHN97C02I745A,2020-11-14,Pfizer
GRCJHN97C02I745A,2021-06-28,Johnson & Johnson
GRBMRN82D57D038L,2021-10-27,Pfizer
GRBMRN82D57D038L,2021-11-10,Johnson & Johnson
NCHPGY58M48G421Q,2020-02-27,Pfizer
NCHPGY58M48G421Q,2020-12-30,Moderna
CVRFRD95L63B418T,2021-06-05,Pfizer
JHNSCI70R26A087R,2021-07-09,Astrazeneca
WRSFDD70A04B506S,2021-08-17,Pfizer
WRSFDD70A04B506S,2020-05-08,Pfizer
BRWSPH60M62E554M,2020-09-22,Pfizer
BRWSPH60M62E554M,2020-07-11,Pfizer
JCBRCC50A63M420U,2020-12-08,Moderna
BGYLSO52A48G663K,2020-05-24,Astrazeneca
YTCRNN69P17A263F,2020-02-06,Johnson & Johnson
YTCRNN69P17A263F,2020-11-11,Moderna
BLNNDR76D29C072G,2020-01-01,Johnson & Johnson
BLNNDR76D29C072G,2021-02-12,Moderna
LPZRMR64L63G153S,2020-07-02,Astrazeneca
LRNTMR73E61D321M,2020-08-12,Pfizer
LRNTMR73E61D321M,2020-03-05,Moderna
STORBE83T53B535L,2020-05-04,Moderna
DTHFNC93H03F707B,2021-10-21,Johnson & Johnson
