CIF,First_Name,Last_Name,Positive,Birth,Birthplace,Phone_Number,Email,Last_Confirm,Sex
PRVLRA61C44L724S,Laurie,Privitera,False,1961-03-04,Velturno,31996441319,laurie.privitera@yahoo.it,2020-10-30,F
VLNKHL81L44L146Q,Kathleen,Valentin,False,1981-07-04,Terzorio,35916455895,kathleen.valentin@gmail.com,2020-09-23,F
DVSBBR79S41M196G,Barbara,Davis,False,1979-11-01,Zubiena,31232777788,barbara.davis@hotmail.it,2021-04-02,F
FGRMHL82H18L237F,Michael,Figueroa,False,1982-06-18,Torrazza Coste,37253248735,michael.figueroa@hotmail.it,2020-12-23,M
DCSGRG75B01H258V,George,Dacosta,False,1975-02-01,Rezzoaglio,34536787781,george.dacosta@gmail.com,,M
MRNJYO89D14B440G,Joey,Moran,False,1989-04-14,Calvello,33254815697,joey.moran@yahoo.it,,M
MCLSLL63H59H822V,Estella,Mclellan,False,1963-06-19,San Donaci,32614697914,estella.mclellan@hotmail.it,2020-03-26,F
PCKDTH82L44E967N,Dorothy,Peck,False,1982-07-04,Marone,35391999814,dorothy.peck@outlook.it,,F
BCKLNR75S63L258J,Eleanor,Beckham,False,1975-11-23,Torre de' Picenardi,33549956473,eleanor.beckham@icloud.com,2021-06-05,F
STJKNE55M03L673N,Ken,Stjean,False,1955-08-03,Varapodio,33351525454,ken.stjean@outlook.it,,M
CLMDWN76E64L105N,Dawn,Clemons,False,1976-05-24,Terelle,32622497166,dawn.clemons@outlook.it,2021-09-09,F
STLSNL55P30E537Q,Stanley,Stallworth,False,1955-09-30,Leporano,37389324876,stanley.stallworth@hotmail.it,,M
FLRCLS87M29I936O,Carlos,Flores,False,1987-08-29,Staiti,33143456895,carlos.flores@gmail.com,,M
BRKPRC73A50B608C,Patricia,Brooks,False,1973-01-10,Cannalonga,37826531528,patricia.brooks@yahoo.it,2021-02-14,F
CRRJSO55T31A376Z,Jose,Carrillo,False,1955-12-31,Arcore,35378746152,jose.carrillo@icloud.com,,M
FLDLSU85S24H265W,Luis,Field,False,1985-11-24,Riace,31897426775,luis.field@yahoo.it,,M
WLLGDN82T25G459Y,Gordon,Wells,False,1982-12-25,Perloz,37258957863,gordon.wells@gmail.com,2021-06-10,M
WHTFDR95T27E759W,Frederick,Whitehead,False,1995-12-27,Lusernetta,31219743583,frederick.whitehead@outlook.it,2021-05-02,M
YRYRLA94L13G204N,Raul,Yeary,False,1994-07-13,Ozzano Monferrato,37652183358,raul.yeary@hotmail.it,,M
PRCRTR79L29L270U,Arturo,Price,False,1979-07-29,Torreglia,35755214915,arturo.price@hotmail.it,,M
MRTJSS58A07H134Q,Jesse,Mortenson,False,1958-01-07,Quinto Vicentino,32467461213,jesse.mortenson@hotmail.it,,M
HCKKST50H58L158V,Kristina,Hicks,False,1950-06-18,Thiesi,33993921642,kristina.hicks@icloud.com,,F
MRODRH93M56M384G,Deborah,Moore,False,1993-08-16,Val Liona,32555575546,deborah.moore@icloud.com,2020-12-07,F
RSSJPH67E22I457E,Joseph,Ross,False,1967-05-22,Sasso di Castalda,34182959591,joseph.ross@gmail.com,2020-03-19,M
BSTGLD89M31M371Q,Gerald,Bostwick,False,1989-08-31,Lessona,33567742115,gerald.bostwick@outlook.it,,M
LTTNNA72M57A625D,Annie,Little,False,1972-08-17,Barbania,34378116332,annie.little@yahoo.it,2020-10-24,F
MYRLNL84M29G823I,Lionel,Mayrant,False,1984-08-29,Ponso,34495814297,lionel.mayrant@icloud.com,,M
CPRJHN86P01B167P,John,Cooper,False,1986-09-01,Briaglia,35939998288,john.cooper@gmail.com,,M
DNKRTI79E46E290E,Rita,Dunkleberger,False,1979-05-06,Imperia,38997188534,rita.dunkleberger@yahoo.it,,F
WRRDMA53D08A127Z,Adam,Warren,False,1953-04-08,Albairate,34893897446,adam.warren@icloud.com,2021-06-28,M
YNGWLM78P15H590G,William,Young,False,1978-09-15,Rotonda,39773496755,william.young@icloud.com,,M
MWNLCS65P09L625X,Lucius,Mowen,False,1965-09-09,Vallinfreda,38429847987,lucius.mowen@icloud.com,,M
LPSMGR93P42C533G,Margaret,Lipscomb,False,1993-09-02,Cerro Tanaro,31379131614,margaret.lipscomb@gmail.com,,F
TMPDNS94M57C901C,Denise,Temple,False,1994-08-17,Colonnella,37622211124,denise.temple@hotmail.it,,F
DNGJML72P16B589Y,Jamal,Dingmann,False,1972-09-16,Candiana,35247815939,jamal.dingmann@outlook.it,,M
MCGSNY98M10A537X,Sidney,Mcglothian,False,1998-08-10,Badia,35642356173,sidney.mcglothian@yahoo.it,,M
HDSDRH98D58D061Q,Deborah,Hudson,False,1998-04-18,Cortemaggiore,37491296177,deborah.hudson@hotmail.it,,F
SHLHRD51E19C941J,Howard,Sheely,False,1951-05-19,Conca Casale,36671171757,howard.sheely@icloud.com,2021-06-19,M
NCHCRG65B09C503O,Craig,Nichols,False,1965-02-09,Cereseto,36324848767,craig.nichols@icloud.com,,M
WDWJNN67T25L440J,Johnny,Woodward,False,1967-12-25,Trivolzio,37839654164,johnny.woodward@outlook.it,,M
MLLNDI78C68A122T,India,Miller,False,1978-03-28,Alassio,38828834376,india.miller@hotmail.it,,F
PLLNHL78D22G311I,Nicholas,Pulliam,False,1978-04-22,Pannarano,32215577667,nicholas.pulliam@yahoo.it,,M
BRDCRO63R66F162H,Cora,Burden,False,1963-10-26,Meta,35699455563,cora.burden@icloud.com,,F
DDYNCY55H68G331W,Nancy,Eddy,False,1955-06-28,Parenti,33687817957,nancy.eddy@hotmail.it,,F
RGRJLN85P04F599C,Julian,Rogers,False,1985-09-04,Monte Rinaldo,39132811864,julian.rogers@outlook.it,,M
MTCKST02A69E784W,Kristin,Mitchell,False,2002-01-29,Macerata Campania,36349717952,kristin.mitchell@outlook.it,,F
LCNMGN89P66L277C,Megan,Luciano,False,1989-09-26,Torre Pellice,32653982884,megan.luciano@yahoo.it,,F
CLYMHL68C61B424F,Michelle,Clay,False,1968-03-21,Calopezzati,35162716778,michelle.clay@gmail.com,,F
GLLJRM87C31G580R,Jerome,Gillogly,False,1987-03-31,Piazza Armerina,38782827272,jerome.gillogly@outlook.it,,M
DLLDBR88B63D227F,Debra,Dull,False,1988-02-23,Curtatone,39895761577,debra.dull@yahoo.it,2021-03-20,F
LCNBBR88P55F817E,Barbara,Loiacono,False,1988-09-15,Muro Lucano,32993331165,barbara.loiacono@yahoo.it,2020-09-14,F
GNZJMM62R30B198S,Jimmie,Gonzalez,False,1962-10-30,Brolo,36793679492,jimmie.gonzalez@outlook.it,,M
FRSRTI90B64C539A,Rita,Fraser,False,1990-02-24,Cersosimo,32331948424,rita.fraser@hotmail.it,,F
JMSJHN61L30E689A,John,James,False,1961-07-30,Loreo,35549976422,john.james@outlook.it,2021-05-18,M
SFSSNT03B58I357V,Samantha,Osofsky,False,2003-02-18,Santo Stefano del Sole,31386715775,samantha.osofsky@gmail.com,,F
MRSTMY83B23B686W,Tommy,Marshall,False,1983-02-23,Capralba,32637949621,tommy.marshall@yahoo.it,,M
SMTNRW84T12I192Q,Andrew,Smith,False,1984-12-12,Sant'Agata di Esaro,32394523129,andrew.smith@gmail.com,,M
NDRSLY95E49A745P,Ashley,Anderson,False,1995-05-09,Bellano,35164622799,ashley.anderson@outlook.it,,F
MNGMVN93E11E576Y,Melvin,Mangual,False,1993-05-11,Licenza,34861897125,melvin.mangual@hotmail.it,,M
FNKCRL68P25D666Z,Carroll,Finkel,False,1968-09-25,Fontainemore,31877948982,carroll.finkel@outlook.it,2021-06-07,M
KNGRSL57M27L167F,Russell,King,False,1957-08-27,Tiglieto,36691928476,russell.king@outlook.it,,M
PHLJSN62A18E213Z,Jason,Phillips,False,1962-01-18,Grottole,32856485618,jason.phillips@gmail.com,2021-01-21,M
GZMDNN67E54L834Z,Donna,Guzman,False,1967-05-14,Viarigi,37813885916,donna.guzman@outlook.it,,F
FRSHLN61R41B038O,Helen,Friesner,False,1961-10-01,Borgo San Siro,37729796312,helen.friesner@gmail.com,,F
SPNJHN87T10F976U,John,Spencer,False,1987-12-10,Nule,32369699637,john.spencer@icloud.com,,M
MCNDNY66H20C974L,Danny,Mcneal,False,1966-06-20,Contursi Terme,31793358143,danny.mcneal@icloud.com,,M
KTHMRL79C44E901I,Marla,Kath,False,1979-03-04,Mapello,36175526119,marla.kath@yahoo.it,2020-10-28,F
DNLRLD97R10E618V,Ronald,Dunlap,False,1997-10-10,Milena,35271297257,ronald.dunlap@outlook.it,,M
RSNJSN91R25L734J,Jason,Rosen,False,1991-10-25,Venegono Superiore,34246712273,jason.rosen@outlook.it,,M
DVDKHL98S44G111E,Kathleen,Davidson,False,1998-11-04,Oriolo Romano,34652442838,kathleen.davidson@outlook.it,,F
GDYWDL63E17L500W,Wendell,Godoy,False,1963-05-17,Urbino,37625175611,wendell.godoy@gmail.com,2020-06-01,M
HFNLNC51R06F846Z,Lance,Hafenstein,False,1951-10-06,Narzole,34199247123,lance.hafenstein@hotmail.it,2020-10-21,M
THMJTH73T54B844U,Judith,Thomas,False,1973-12-14,Cartigliano,36279815393,judith.thomas@yahoo.it,,F
SKNJPH51S02C500E,Joseph,Skinner,False,1951-11-02,Ceregnano,36451618894,joseph.skinner@gmail.com,2021-09-11,M
PRCMHL59T49G802A,Michelle,Price,False,1959-12-09,Polverara,35598374967,michelle.price@gmail.com,2020-10-09,F
BRCMRY59A65H294I,Mary,Burchell,False,1959-01-25,Rimini,33476379381,mary.burchell@icloud.com,2021-01-20,F
LMRGRG63B15G580A,Greg,Lamarche,False,1963-02-15,Piazza Armerina,39735139399,greg.lamarche@yahoo.it,,M
LLTLND50C14D853V,Alejandro,Ouellette,False,1950-03-14,Gagliole,35692551543,alejandro.ouellette@hotmail.it,,M
GMBDRK56D23E593M,Derek,Gamboa,False,1956-04-23,Limido Comasco,39557586346,derek.gamboa@yahoo.it,,M
SHETMY52C08H406D,Timmy,Shea,False,1952-03-08,Roccaforte Ligure,38664597897,timmy.shea@yahoo.it,,M
LPPDLD70A03H026E,Donald,Loepp,False,1970-01-03,Pregnana Milanese,35961668626,donald.loepp@hotmail.it,,M
WHTRSL88M48G273U,Rosalee,Whitman,False,1988-08-08,Palermo,33474951912,rosalee.whitman@yahoo.it,,F
SNCRHR70E02I612L,Richard,Sanchez,False,1970-05-02,Senna Lodigiana,33676784633,richard.sanchez@outlook.it,2020-03-15,M
HNYRHR01R25H878A,Richard,Haney,False,2001-10-25,San Giorgio Monferrato,34342828521,richard.haney@gmail.com,2020-05-15,M
CLPJHN02H25H639J,John,Culpepper,False,2002-06-25,Rumo,34847566536,john.culpepper@outlook.it,,M
YNGNCY92A42L334B,Nancy,Young,False,1992-01-02,Trasacco,33321231137,nancy.young@icloud.com,,F
SMMNNA60C46H245N,Ann,Simms,False,1960-03-06,Resuttano,36636211591,ann.simms@outlook.it,,F
LIXJCK86C02L575K,Jack,Li,False,1986-03-02,Valfloriana,33654137592,jack.li@gmail.com,,M
SCHLYD54L59D277S,Lydia,Schneider,False,1954-07-19,Dernice,33499143322,lydia.schneider@outlook.it,2020-09-20,F
STOTRY58M28A989V,Troy,Soto,False,1958-08-28,Borgarello,34235377979,troy.soto@hotmail.it,,M
MRRTMS79B15C974V,Thomas,Murray,False,1979-02-15,Contursi Terme,32975258221,thomas.murray@hotmail.it,,M
LZRLYD51S54E847D,Lydia,Lazarine,False,1951-11-14,Malborghetto Valbruna,37997658651,lydia.lazarine@yahoo.it,,F
KTHMRA59R57C816R,Marie,Keith,False,1959-10-17,Codogno,31176671515,marie.keith@outlook.it,,F
VGEZCK52A22H189U,Zack,Vega,False,1952-01-22,Rasun-Anterselva,33196438248,zack.vega@yahoo.it,,M
RMNMRY96C46H022U,Mary,Romano,False,1996-03-06,Preganziol,34726454971,mary.romano@hotmail.it,2020-06-21,F
BRWCFF88E12F737N,Clifford,Brown,False,1988-05-12,Mornese,39444526397,clifford.brown@icloud.com,2020-08-04,M
KNGJSS58L01H528F,Jesse,King,False,1958-07-01,Roncegno Terme,33825214256,jesse.king@hotmail.it,,M
KNSJNF91H43C691H,Jennifer,Kinsman,False,1991-06-03,Cimbergo,38972991244,jennifer.kinsman@yahoo.it,2020-07-10,F
CRLCRY02E44E048J,Cheryl,Carlson,False,2002-05-04,Giovo,34238444679,cheryl.carlson@icloud.com,,F
DVLVGN61S45F494C,Virgina,Duvall,False,1961-11-05,Montefalcone di Val Fortore,36628387961,virgina.duvall@icloud.com,2021-09-28,F
JRDRCE97M57L681R,Erica,Jordan,False,1997-08-17,Varese Ligure,32234243232,erica.jordan@gmail.com,,F
LCKLPU63A14L248G,Lupe,Lockridge,False,1963-01-14,Torrebelvicino,36797967977,lupe.lockridge@icloud.com,,M
BLNLSI59L44I754K,Lisa,Blenman,False,1959-07-04,Siracusa,36386969217,lisa.blenman@outlook.it,2021-05-09,F
KNLSNE96A14I319G,Sean,Kinley,False,1996-01-14,Sant'Elena,33976551834,sean.kinley@yahoo.it,,M
CHNMNG65R47H002C,Ming,Chandler,False,1965-10-07,Prato Carnico,37299435374,ming.chandler@hotmail.it,,F
HNSCLE92M26G447Q,Cleo,Hinson,False,1992-08-26,Perdifumo,32379235445,cleo.hinson@gmail.com,,M
GRNDRS80B51E374C,Dolores,Grant,False,1980-02-11,Itala,35497645281,dolores.grant@yahoo.it,,F
JHNDBR55P46G123T,Debra,Johnson,False,1955-09-06,Orsago,37145342369,debra.johnson@icloud.com,2020-04-27,F
DWDROA52C53B097U,Ora,Dowd,False,1952-03-13,Bova,37496729268,ora.dowd@gmail.com,,F
FREDTH50S54B120C,Dorothy,Feria,False,1950-11-14,Brandico,36272239254,dorothy.feria@gmail.com,,F
CLLJHN64C04F078U,John,Calloway,False,1964-03-04,Meda,35416915984,john.calloway@gmail.com,,M
JNSCLD84P13A810G,Claude,Jones,False,1984-09-13,Bertiolo,31655784921,claude.jones@outlook.it,,M
HSLLSE93H63M339H,Elisa,Haislip,False,1993-06-23,Maccagno con Pino e Veddasca,32841351795,elisa.haislip@outlook.it,2021-01-01,F
YNGMTN56H16E666B,Milton,Young,False,1956-06-16,Lonate Pozzolo,35872677516,milton.young@yahoo.it,,M
MRCRSO85P65A737K,Rosa,Marcotte,False,1985-09-25,Belfiore,31151855541,rosa.marcotte@outlook.it,,F
GRCJHN97C02I745A,John,Garcia,False,1997-03-02,Simeri Crichi,37717424771,john.garcia@icloud.com,2020-10-05,M
WLLSRL93T52I326Y,Shirley,Williams,False,1993-12-12,Sante Marie,32123618128,shirley.williams@yahoo.it,,F
GRBMRN82D57D038L,Maureen,Grubb,False,1982-04-17,Correzzana,37352822586,maureen.grubb@icloud.com,2020-06-16,F
NCHPGY58M48G421Q,Peggy,Nichol,False,1958-08-08,Pella,32742161861,peggy.nichol@hotmail.it,2021-08-02,F
CVRFRD95L63B418T,Florida,Covarrubias,False,1995-07-23,Calliano,32943147499,florida.covarrubias@hotmail.it,2021-04-30,F
KLLLRT86E22I414T,Albert,Kelley,False,1986-05-22,San Zeno di Montagna,32721389493,albert.kelley@yahoo.it,,M
JHNSCI70R26A087R,Isaac,Johnson,False,1970-10-26,Agrate Brianza,38492699489,isaac.johnson@yahoo.it,2020-12-24,M
PNNRHR81M05E356N,Richard,Pinnock,False,1981-08-05,Isola Dovarese,38821886537,richard.pinnock@gmail.com,,M
WLLNNA58A42C369H,Annie,Williams,False,1958-01-02,Cavagnolo,37314262272,annie.williams@outlook.it,,F
WRSFDD70A04B506S,Freddie,Wiersma,False,1970-01-04,Campi Salentina,31869489983,freddie.wiersma@hotmail.it,,M
BRWSPH60M62E554M,Stephanie,Brewer,False,1960-08-22,Letino,31527326135,stephanie.brewer@hotmail.it,,F
NVRJPH90S21E904H,Joseph,Nevarez,False,1990-11-21,Maranello,32364424399,joseph.nevarez@yahoo.it,,M
JCBRCC50A63M420U,Rebecca,Jacobs,False,1950-01-23,Lu e Cuccaro Monferrato,38969944722,rebecca.jacobs@hotmail.it,,F
BGYLSO52A48G663K,Lois,Begay,False,1952-01-08,Pignola,36979381271,lois.begay@gmail.com,2021-08-29,F
FRNGRD51M07G146L,Gerard,Franks,False,1951-08-07,Ortueri,35223644219,gerard.franks@gmail.com,,M
YTCRNN69P17A263F,Ronnie,Eytcheson,False,1969-09-17,Amendolara,31499731728,ronnie.eytcheson@icloud.com,,M
SLBPRC85H65A399P,Patricia,Silbaugh,False,1985-06-25,Ariano Irpino,36669798821,patricia.silbaugh@outlook.it,2020-02-19,F
BLNNDR76D29C072G,Andre,Blanke,False,1976-04-29,Castelcovati,36944551929,andre.blanke@outlook.it,2020-09-30,M
LPZRMR64L63G153S,Rosemary,Lopez,False,1964-07-23,Oschiri,36467544478,rosemary.lopez@hotmail.it,2020-12-07,F
WLLRLA58E52G222M,Aurelia,Williams,False,1958-05-12,Paderno Ponchielli,32786668185,aurelia.williams@gmail.com,,F
LRNTMR73E61D321M,Tamara,Lorna,False,1973-05-21,Dolegna del Collio,33126786981,tamara.lorna@hotmail.it,,F
STORBE83T53B535L,Reba,Soto,False,1983-12-13,Campofiorito,31355773686,reba.soto@hotmail.it,,F
DTHFNC93H03F707B,Francisco,Deatherage,False,1993-06-03,Morano sul Po,35987912539,francisco.deatherage@outlook.it,,M
VSLLTT58D59D974O,Linette,Vasile,False,1958-04-19,Gera Lario,31588641166,linette.vasile@outlook.it,,F
