CIF1,CIF2,Date,Duration
WLLDNL90A04A898T,HSLLSE93H63M339H,2020-01-24,05:20:00
CVRFRD95L63B418T,PRKPRC59M42F793E,2020-06-11,14:02:00
WHTRSL88M48G273U,RMNMRY96C46H022U,2021-02-23,17:28:00
KRKPTR52T16L562R,WRRDMA53D08A127Z,2020-04-30,11:49:00
DWDROA52C53B097U,LNRLVN82B12G713N,2020-12-01,01:53:00
KRKPTR52T16L562R,FRSRTI90B64C539A,2020-11-13,20:05:00
BNGKMI67E57M079C,PTRMLS95L01G492T,2020-10-07,07:51:00
GRBMRN82D57D038L,LCNBBR88P55F817E,2020-07-05,02:08:00
GMBDRK56D23E593M,MRSTMY83B23B686W,2020-08-20,01:08:00
BRBJFF97T18A202M,CDRTCY54R28A265E,2021-03-11,04:07:00
BRWPLN97H69G189W,TMPDNS94M57C901C,2021-01-25,03:12:00
SHLTRS58D49F815D,MTCKST02A69E784W,2020-11-02,06:32:00
GRNDRS80B51E374C,FLDLSU85S24H265W,2020-07-09,18:52:00
LPPDLD70A03H026E,YRYRLA94L13G204N,2020-08-18,21:19:00
BDNMRY91S41H505I,KNGRSL57M27L167F,2020-05-25,03:02:00
HNYRHR01R25H878A,LFFMLE91L09D596Z,2021-11-02,20:44:00
LNRLVN82B12G713N,THRCRS72D63M021H,2020-08-20,11:16:00
LIXJCK86C02L575K,KNGJSS58L01H528F,2021-05-18,23:54:00
MYRLNL84M29G823I,FLDLSU85S24H265W,2021-09-25,23:25:00
JRDRCE97M57L681R,LPZRMR64L63G153S,2021-10-08,04:39:00
NDRSLY95E49A745P,FRSRTI90B64C539A,2020-06-25,02:50:00
THMJTH73T54B844U,STPGLD62R28B530H,2020-09-02,19:19:00
BRCMRY59A65H294I,LCNMGN89P66L277C,2020-12-23,18:11:00
CVRFRD95L63B418T,KTHMRL79C44E901I,2020-12-22,02:26:00
PRCRTR79L29L270U,BRCMRY59A65H294I,2020-07-15,17:04:00
TCKJYC58A44B774S,MYRLNL84M29G823I,2021-03-20,18:06:00
HNSCLE92M26G447Q,NGYJDY52E48F320W,2021-03-07,22:53:00
NCHPGY58M48G421Q,GZMDNN67E54L834Z,2021-02-17,06:30:00
GMBDRK56D23E593M,LCNBBR88P55F817E,2020-02-07,15:11:00
CPRJHN86P01B167P,DVLVGN61S45F494C,2020-11-22,23:43:00
LIXJCK86C02L575K,DVLVGN61S45F494C,2021-11-14,19:54:00
GMBDRK56D23E593M,PHLJSN62A18E213Z,2021-08-10,05:06:00
MTCKST02A69E784W,PLLNHL78D22G311I,2021-06-29,19:20:00
STRBNC73A49G384I,LEEJNA98H48E638A,2021-02-07,15:22:00
SHETMY52C08H406D,PNTJSS83R28A041V,2020-10-18,01:02:00
SFSSNT03B58I357V,BNGKMI67E57M079C,2021-06-25,10:19:00
JCBRCC50A63M420U,CHNMNG65R47H002C,2020-12-20,18:21:00
PCKDTH82L44E967N,TCKJYC58A44B774S,2021-11-04,07:21:00
CLMBRN67E26H720B,DVSBBR79S41M196G,2020-08-21,20:36:00
DTHFNC93H03F707B,BRKPRC73A50B608C,2021-01-13,22:55:00
GNRJNN64B08D299Y,JHNDBR55P46G123T,2021-03-13,21:39:00
SKNJPH51S02C500E,LYNMRC54A29D009G,2021-05-27,14:42:00
FLDLSU85S24H265W,VSLLTT58D59D974O,2021-05-26,18:16:00
WSSJNF88S47L039A,CKOJHN53S03F001C,2021-08-17,20:27:00
LLSVGN67T61D344L,WLLDNL90A04A898T,2021-09-20,18:33:00
YNGNCY92A42L334B,MRTJSS58A07H134Q,2020-12-23,15:23:00
NVRJPH90S21E904H,RSNJSN91R25L734J,2020-03-15,21:35:00
PTRMLS95L01G492T,STJKNE55M03L673N,2020-02-14,04:19:00
GLLJRM87C31G580R,LLSVGN67T61D344L,2021-06-27,01:54:00
HRDSNY94C52M267B,SLBPRC85H65A399P,2021-04-02,16:35:00
SNCRHR70E02I612L,BRWPLN97H69G189W,2021-02-23,03:59:00
PTRMLS95L01G492T,BRWSPH60M62E554M,2021-08-17,14:57:00
GLLJRM87C31G580R,VGEZCK52A22H189U,2020-09-21,15:43:00
WLLNNA58A42C369H,DNGJML72P16B589Y,2020-02-06,13:48:00
LLSVGN67T61D344L,GBNMTH99A65E012A,2021-08-18,05:17:00
MROJNF62B58D607A,CBRRGG92B14A663J,2021-10-14,03:47:00
MCNDNY66H20C974L,PRCMHL59T49G802A,2021-02-03,10:15:00
BLNNDR76D29C072G,JHNSCI70R26A087R,2021-08-15,04:42:00
BRCMRY59A65H294I,PNNRHR81M05E356N,2020-03-28,02:07:00
WHLDWN60T17H599M,MRSTMY83B23B686W,2020-06-17,15:36:00
KTHMRL79C44E901I,WLLGDN82T25G459Y,2021-10-07,01:34:00
WLLNNA58A42C369H,BRCJHN84D04C780Y,2021-02-20,02:29:00
SFSSNT03B58I357V,THMJTH73T54B844U,2020-08-16,12:27:00
VLNKHL81L44L146Q,WTSLRN59T47A506O,2020-06-23,14:08:00
TMPDNS94M57C901C,PNNRHR81M05E356N,2020-06-23,00:38:00
LMRGRG63B15G580A,LCKLPU63A14L248G,2021-06-06,18:56:00
STOTRY58M28A989V,KLLLRT86E22I414T,2020-12-06,01:12:00
RGRJLN85P04F599C,DVDKHL98S44G111E,2021-06-21,17:03:00
MRRCRN86R26M093P,DLLDBR88B63D227F,2021-04-17,20:23:00
TRYRRT89S21C194F,JMSJHN61L30E689A,2020-09-03,08:44:00
WLLDNL90A04A898T,DVSBBR79S41M196G,2020-11-13,19:58:00
DNKRTI79E46E290E,DVSBBR79S41M196G,2021-09-14,10:29:00
HWKSVN87L31F455R,GNRJNN64B08D299Y,2020-08-04,16:09:00
KNSJNF91H43C691H,BRBJFF97T18A202M,2021-06-24,00:42:00
BDGTTH02S12H153U,CPRJHN86P01B167P,2020-03-23,17:07:00
LCNMGN89P66L277C,STOTRY58M28A989V,2021-09-09,03:03:00
BLNNDR76D29C072G,KNLSNE96A14I319G,2020-03-23,16:00:00
DNLRLD97R10E618V,HRDSNY94C52M267B,2021-06-10,21:12:00
LYNMRC54A29D009G,MNGMVN93E11E576Y,2021-01-08,03:20:00
FLRCLS87M29I936O,PRKPRC59M42F793E,2021-06-11,07:35:00
STOTRY58M28A989V,MYRWLM79B25A712W,2021-10-07,15:41:00
HRDSNY94C52M267B,VLNKHL81L44L146Q,2021-05-11,05:23:00
JHNSCI70R26A087R,JMSJHN61L30E689A,2020-05-20,18:29:00
HRDSNY94C52M267B,SHLHRD51E19C941J,2020-07-01,17:11:00
BDGTTH02S12H153U,LYNMRC54A29D009G,2020-10-07,13:16:00
MYRLNL84M29G823I,MCNDNY66H20C974L,2020-09-17,07:31:00
FRSHLN61R41B038O,WHTRSL88M48G273U,2021-02-17,19:22:00
RGRJLN85P04F599C,BRCMRY59A65H294I,2021-06-30,05:58:00
BSTGLD89M31M371Q,GNZJMM62R30B198S,2020-05-23,14:20:00
CRLCRY02E44E048J,STPGLD62R28B530H,2020-05-02,08:24:00
LNRLVN82B12G713N,LIXJCK86C02L575K,2020-08-08,20:57:00
FREDTH50S54B120C,BRBJFF97T18A202M,2021-04-15,13:19:00
STJKNE55M03L673N,BRNLHE55R64C286K,2020-07-09,23:28:00
PTRMLS95L01G492T,MWNLCS65P09L625X,2020-10-14,20:57:00
MCLSLL63H59H822V,CLMDWN76E64L105N,2020-04-11,11:08:00
KHNLSI83T46C866B,DVLVGN61S45F494C,2021-03-16,05:15:00
KLFJMS99H26F422A,STRLRY69C07E192Q,2020-06-13,04:55:00
BRWCFF88E12F737N,PRVLRA61C44L724S,2021-06-16,05:51:00
BRNLHE55R64C286K,CLMBRN67E26H720B,2020-06-17,02:25:00
SFSSNT03B58I357V,LPPDLD70A03H026E,2020-12-07,23:27:00
WLLDNL90A04A898T,MKLCRS90H44L173G,2021-08-24,16:37:00
WLLSRL93T52I326Y,LZRLYD51S54E847D,2020-11-29,05:29:00
WLLRLA58E52G222M,FNKCRL68P25D666Z,2021-06-28,16:47:00
BRWSPH60M62E554M,GDYWDL63E17L500W,2020-09-24,07:13:00
WLLGDN82T25G459Y,SMMNNA60C46H245N,2020-11-02,23:02:00
PRKPRC59M42F793E,SMMNNA60C46H245N,2020-12-30,10:22:00
YRYRLA94L13G204N,CLMDWN76E64L105N,2020-08-04,20:42:00
SLDHLN85A49F422V,KTHMRL79C44E901I,2020-07-06,13:26:00
RTCJDY92L65D057O,FLRCLS87M29I936O,2021-03-31,10:38:00
FLRCLS87M29I936O,LRNTMR73E61D321M,2020-06-20,23:47:00
DNLRLD97R10E618V,KNGJSS58L01H528F,2020-06-02,07:07:00
GRNDLD75L03D804W,VGEZCK52A22H189U,2020-02-17,02:10:00
TMPDNS94M57C901C,NGYJDY52E48F320W,2020-04-19,17:47:00
WLLLLN83R62A857R,DVDKHL98S44G111E,2020-09-30,21:53:00
HSLLSE93H63M339H,CLMBRN67E26H720B,2021-01-13,00:40:00
YTCRNN69P17A263F,BRWCFF88E12F737N,2020-03-01,15:55:00
JMSJHN61L30E689A,SFSSNT03B58I357V,2020-05-23,00:27:00
FLRCLS87M29I936O,NGYJDY52E48F320W,2020-03-29,10:48:00
VLLRRT69R11D041G,XMEBBR59A42B171A,2021-02-22,04:46:00
CLYMHL68C61B424F,CRLCRY02E44E048J,2020-08-07,17:21:00
MROJNF62B58D607A,JPKLRY63B16C633M,2021-07-09,04:30:00
GNZJMM62R30B198S,SMMNNA60C46H245N,2021-06-27,16:56:00
HDSDRH98D58D061Q,GRNDRS80B51E374C,2020-11-02,22:54:00
MYRWLM79B25A712W,RSSJPH67E22I457E,2020-02-02,12:54:00
GLLJRM87C31G580R,KTHMRA59R57C816R,2021-08-01,05:09:00
CLPJHN02H25H639J,DLLDBR88B63D227F,2021-08-10,04:05:00
HNYRHR01R25H878A,NCHCRG65B09C503O,2020-05-19,02:33:00
STORBE83T53B535L,WLLLLN83R62A857R,2021-04-13,07:15:00
HSLLSE93H63M339H,JHNDBR55P46G123T,2020-11-06,21:14:00
PHLJSN62A18E213Z,STOTRY58M28A989V,2020-01-19,20:34:00
SPNJRM96H21C062G,SMTNRW84T12I192Q,2021-04-27,23:22:00
TMPDNS94M57C901C,CLMBRN67E26H720B,2020-01-12,16:10:00
GNRJNN64B08D299Y,MKLCRS90H44L173G,2020-04-25,00:33:00
PLLNHL78D22G311I,LZRLYD51S54E847D,2020-12-11,06:07:00
PNINAA54T66I796U,DNLRLD97R10E618V,2020-01-27,08:04:00
PNINAA54T66I796U,BRDCRO63R66F162H,2020-04-05,12:27:00
SHLTRS58D49F815D,GRBMRN82D57D038L,2021-04-06,14:45:00
DNKRTI79E46E290E,WLLGDN82T25G459Y,2021-05-22,22:07:00
DVDKHL98S44G111E,KHNLSI83T46C866B,2021-09-23,17:57:00
MCGSNY98M10A537X,LCNBBR88P55F817E,2020-11-01,01:33:00
SHLTRS58D49F815D,WDWJNN67T25L440J,2020-12-06,16:37:00
MLLNDI78C68A122T,FLRCLS87M29I936O,2021-10-07,21:23:00
BCKLNR75S63L258J,WTSLRN59T47A506O,2021-08-29,12:23:00
KHNLSI83T46C866B,MNGMVN93E11E576Y,2021-10-17,14:45:00
FRNGRD51M07G146L,MCLSLL63H59H822V,2021-03-08,19:45:00
LLSVGN67T61D344L,KNGJSS58L01H528F,2020-10-26,09:41:00
MYRWLM79B25A712W,SMNZND76S52A398Q,2020-06-07,01:05:00
GNRJNN64B08D299Y,KLFJMS99H26F422A,2021-05-10,10:16:00
FGRMHL82H18L237F,SFSSNT03B58I357V,2021-07-27,06:01:00
VLNKHL81L44L146Q,JRDRCE97M57L681R,2020-06-14,04:45:00
DVLVGN61S45F494C,GLLJRM87C31G580R,2020-10-07,00:25:00
HDSJHN73B07F256I,STJKNE55M03L673N,2020-04-30,14:30:00
TCKJYC58A44B774S,MROJNF62B58D607A,2020-06-06,09:41:00
SLDHLN85A49F422V,LTTNNA72M57A625D,2021-01-24,04:10:00
SNCRHR70E02I612L,NGYJDY52E48F320W,2021-06-15,15:32:00
KNGRSL57M27L167F,BRCMRY59A65H294I,2021-02-16,01:06:00
YRYRLA94L13G204N,HDSJHN73B07F256I,2020-05-16,03:15:00
BNGKMI67E57M079C,MNGMVN93E11E576Y,2020-03-23,06:34:00
SHLHRD51E19C941J,GZMDNN67E54L834Z,2021-07-22,06:06:00
MTCKST02A69E784W,HFNLNC51R06F846Z,2021-06-07,16:34:00
MCNDNY66H20C974L,THRCRS72D63M021H,2021-07-05,04:36:00
VSLLTT58D59D974O,DTHFNC93H03F707B,2020-09-13,08:45:00
FREDTH50S54B120C,MRODRH93M56M384G,2021-09-19,11:20:00
JCBRCC50A63M420U,SFSSNT03B58I357V,2020-04-17,10:25:00
GRCJHN97C02I745A,PRCRTR79L29L270U,2020-09-07,21:05:00
JCBRCC50A63M420U,WTSLRN59T47A506O,2021-07-07,03:42:00
SPNJHN87T10F976U,STJKNE55M03L673N,2020-09-09,13:24:00
KNLSNE96A14I319G,DVDKHL98S44G111E,2021-10-07,18:05:00
LCNBBR88P55F817E,STJKNE55M03L673N,2021-01-10,22:00:00
RSDWTR78C28G156H,PCKDTH82L44E967N,2021-06-21,11:20:00
WLLGDN82T25G459Y,FLRCLS87M29I936O,2020-09-15,00:23:00
VLLRRT69R11D041G,GZMDNN67E54L834Z,2021-10-18,01:54:00
WLLLLN83R62A857R,WRSFDD70A04B506S,2020-01-25,11:58:00
RMNMRY96C46H022U,BRWSPH60M62E554M,2020-07-01,12:19:00
BRKPRC73A50B608C,JHNSCI70R26A087R,2020-10-17,08:40:00
HSLLSE93H63M339H,STRBNC73A49G384I,2020-10-11,17:03:00
MTCKST02A69E784W,PNTJSS83R28A041V,2020-11-25,08:52:00
LIXJCK86C02L575K,STLSNL55P30E537Q,2021-09-26,05:55:00
WHTRSL88M48G273U,BRNLHE55R64C286K,2020-10-31,07:54:00
PRCMHL59T49G802A,FRSHLN61R41B038O,2021-07-28,22:10:00
CLMDWN76E64L105N,WHTRSL88M48G273U,2021-08-20,09:41:00
SMNZND76S52A398Q,DLLDBR88B63D227F,2021-07-16,02:50:00
BDNMRY91S41H505I,LRNTMR73E61D321M,2021-07-03,22:47:00
MNGMVN93E11E576Y,DTHFNC93H03F707B,2021-04-23,21:52:00
WLLGDN82T25G459Y,BRDCRO63R66F162H,2021-03-31,02:43:00
PHLJSN62A18E213Z,DTHFNC93H03F707B,2020-12-26,10:13:00
WLLLLN83R62A857R,FGRMHL82H18L237F,2021-06-10,18:35:00
FRSRTI90B64C539A,BDNMRY91S41H505I,2021-01-15,17:03:00
VSLLTT58D59D974O,HNYRHR01R25H878A,2020-05-31,20:00:00
BCKLNR75S63L258J,PCKDTH82L44E967N,2021-09-01,16:11:00
DCSGRG75B01H258V,MRTJSS58A07H134Q,2020-02-24,06:40:00
MROJNF62B58D607A,TCKJYC58A44B774S,2020-12-15,03:58:00
LLSVGN67T61D344L,RSNJSN91R25L734J,2020-04-21,19:14:00
MRSTMY83B23B686W,DDYNCY55H68G331W,2020-01-14,22:44:00
DLLDBR88B63D227F,LCKLPU63A14L248G,2020-05-12,01:50:00
DLLDBR88B63D227F,SHLHRD51E19C941J,2021-10-07,00:44:00
SCHLYD54L59D277S,DLLDBR88B63D227F,2020-12-04,13:39:00
KLLLRT86E22I414T,LTTNNA72M57A625D,2021-08-12,14:36:00
GLLJRM87C31G580R,BRWSPH60M62E554M,2020-09-13,18:01:00
TRYRRT89S21C194F,PNNRHR81M05E356N,2020-11-08,09:12:00
SLHSLV72P60D239O,LPSMGR93P42C533G,2020-10-01,04:41:00
BLNLSI59L44I754K,CRRJSO55T31A376Z,2021-06-12,23:13:00
LFFMLE91L09D596Z,DWDROA52C53B097U,2020-01-13,07:15:00
CRRJSO55T31A376Z,MRSTMY83B23B686W,2020-09-19,06:34:00
DNKRTI79E46E290E,WLLNNA58A42C369H,2021-05-05,10:54:00
PRKPRC59M42F793E,KLFJMS99H26F422A,2020-01-23,08:17:00
RSNJSN91R25L734J,STJKNE55M03L673N,2021-06-04,20:44:00
SWNMHL73B21F664V,WLLLLN83R62A857R,2020-09-27,03:11:00
RGRJLN85P04F599C,MCGSNY98M10A537X,2021-06-04,22:45:00
RSNJSN91R25L734J,FREDTH50S54B120C,2021-05-27,20:02:00
SKNJPH51S02C500E,BRBJFF97T18A202M,2021-06-15,01:55:00
GNRJNN64B08D299Y,PHLJSN62A18E213Z,2021-08-07,20:41:00
BLNLSI59L44I754K,WHLDWN60T17H599M,2021-09-29,22:27:00
YTCRNN69P17A263F,DVSBBR79S41M196G,2021-01-15,18:34:00
BDNMRY91S41H505I,STRLRY69C07E192Q,2021-10-14,10:41:00
YNGMTN56H16E666B,LLSVGN67T61D344L,2020-06-15,00:56:00
DTHFNC93H03F707B,CLYMHL68C61B424F,2020-03-27,07:27:00
HDSJHN73B07F256I,PLLNHL78D22G311I,2020-06-01,22:12:00
WLLDNL90A04A898T,BRWPLN97H69G189W,2020-01-01,03:19:00
VLNKHL81L44L146Q,MYRLNL84M29G823I,2021-10-07,01:28:00
BRCJHN84D04C780Y,DWDROA52C53B097U,2021-03-15,02:26:00
BLNLSI59L44I754K,DNKRTI79E46E290E,2020-07-25,00:53:00
STJKNE55M03L673N,BRWCFF88E12F737N,2021-05-16,18:15:00
LPSMGR93P42C533G,HCKKST50H58L158V,2021-09-13,12:35:00
BRCJHN84D04C780Y,PNNRHR81M05E356N,2021-02-09,21:15:00
PNTJSS83R28A041V,MTCKST02A69E784W,2020-07-30,19:36:00
MRODRH93M56M384G,SMTNRW84T12I192Q,2020-02-04,06:20:00
BCKLNR75S63L258J,LTTNNA72M57A625D,2020-04-01,13:06:00
JPKLRY63B16C633M,MYRLNL84M29G823I,2020-06-09,16:26:00
GNZJMM62R30B198S,LIXJCK86C02L575K,2020-11-21,06:15:00
YNGMTN56H16E666B,LPZRMR64L63G153S,2020-03-07,07:39:00
BCKLNR75S63L258J,CHNMNG65R47H002C,2020-10-17,04:23:00
BRDCRO63R66F162H,FNKCRL68P25D666Z,2021-01-26,19:17:00
JCBRCC50A63M420U,DNLRLD97R10E618V,2020-12-02,19:34:00
TCKJYC58A44B774S,FNKCRL68P25D666Z,2020-12-12,23:45:00
LIXJCK86C02L575K,MLLNDI78C68A122T,2020-05-31,22:25:00
BNGKMI67E57M079C,HNSCLE92M26G447Q,2021-03-21,08:05:00
TCKJYC58A44B774S,MYRLNL84M29G823I,2020-11-28,18:33:00
NDRSLY95E49A745P,RTCJDY92L65D057O,2020-11-16,21:11:00
BLNNDR76D29C072G,YTCRNN69P17A263F,2021-01-15,06:19:00
STJKNE55M03L673N,CLLJHN64C04F078U,2021-06-07,12:02:00
HDSJHN73B07F256I,MRRCRN86R26M093P,2021-10-20,09:04:00
PRCRTR79L29L270U,NDRSLY95E49A745P,2020-08-11,09:48:00
LCKLPU63A14L248G,FLDLSU85S24H265W,2020-04-11,17:28:00
JNSCLD84P13A810G,KNLSNE96A14I319G,2020-10-24,15:41:00
GMBDRK56D23E593M,WLLDNL90A04A898T,2020-10-30,03:17:00
STRBNC73A49G384I,WLLNNA58A42C369H,2020-09-11,20:03:00
BRCMRY59A65H294I,MRRCRN86R26M093P,2021-08-25,18:56:00
LPPDLD70A03H026E,SMTNRW84T12I192Q,2020-12-05,07:18:00
LNRLVN82B12G713N,KLLLRT86E22I414T,2020-09-27,20:12:00
STOTRY58M28A989V,CRRJSO55T31A376Z,2021-08-11,00:47:00
BCKLNR75S63L258J,HNSCLE92M26G447Q,2021-02-20,23:29:00
BNGKMI67E57M079C,WLLDNL90A04A898T,2021-10-17,05:25:00
CDRTCY54R28A265E,PNNRHR81M05E356N,2020-01-09,13:53:00
LZRLYD51S54E847D,KNGJSS58L01H528F,2020-10-11,02:46:00
KNLSNE96A14I319G,WHTRSL88M48G273U,2020-08-17,18:29:00
NCHCRG65B09C503O,MYRWLM79B25A712W,2021-07-16,20:15:00
PNTJSS83R28A041V,WTSLRN59T47A506O,2021-01-26,05:18:00
MCNDNY66H20C974L,RBRBRK59H52F562K,2021-06-07,14:48:00
DCSGRG75B01H258V,PRVLRA61C44L724S,2021-10-06,11:51:00
HFNLNC51R06F846Z,BGYLSO52A48G663K,2020-03-22,06:43:00
NCHCRG65B09C503O,MWNLCS65P09L625X,2020-08-23,15:21:00
FLDLSU85S24H265W,WLLLLN83R62A857R,2021-07-28,05:04:00
LYNMRC54A29D009G,HRDSNY94C52M267B,2021-09-30,03:24:00
PCKDTH82L44E967N,KNLSNE96A14I319G,2021-01-26,06:35:00
HCKKST50H58L158V,GMBDRK56D23E593M,2021-01-08,00:49:00
KNGJSS58L01H528F,BDGTTH02S12H153U,2021-11-09,20:00:00
BRWSPH60M62E554M,VSLLTT58D59D974O,2020-01-22,07:04:00
HFNLNC51R06F846Z,FLDLSU85S24H265W,2021-11-10,12:27:00
BRNLHE55R64C286K,SHLLLL52M71L389G,2020-06-13,10:37:00
MRRCRN86R26M093P,PNNRHR81M05E356N,2021-08-24,23:21:00
FRSRTI90B64C539A,KNLSNE96A14I319G,2020-12-22,18:29:00
VLLRRT69R11D041G,MKLCRS90H44L173G,2021-09-20,22:18:00
KTHMRL79C44E901I,YNGNCY92A42L334B,2021-04-06,08:59:00
MCLSLL63H59H822V,DVSBBR79S41M196G,2020-07-30,01:21:00
FRNGRD51M07G146L,MCGSNY98M10A537X,2021-01-02,08:09:00
CLYMHL68C61B424F,HNSCLE92M26G447Q,2020-05-09,14:25:00
BSTGLD89M31M371Q,RBRBRK59H52F562K,2021-07-01,10:31:00
GBNMTH99A65E012A,NDRSLY95E49A745P,2020-10-20,22:37:00
STLSNL55P30E537Q,WLLSRL93T52I326Y,2021-10-27,15:08:00
NGYJDY52E48F320W,LPPDLD70A03H026E,2021-10-03,18:13:00
JCBRCC50A63M420U,BGYLSO52A48G663K,2021-08-12,20:28:00
GZMDNN67E54L834Z,TCKJYC58A44B774S,2020-03-08,14:25:00
NGYJDY52E48F320W,PNTJSS83R28A041V,2020-05-23,02:50:00
WRRDMA53D08A127Z,LMRGRG63B15G580A,2020-05-17,16:27:00
MROJNF62B58D607A,DNKRTI79E46E290E,2020-07-25,19:05:00
VLNKHL81L44L146Q,GDYWDL63E17L500W,2020-06-08,13:56:00
DWDROA52C53B097U,CDRTCY54R28A265E,2020-11-25,04:03:00
PNTJSS83R28A041V,NCHPGY58M48G421Q,2021-03-31,21:00:00
PNINAA54T66I796U,GRFHRT66B27D284O,2020-08-05,08:49:00
LPZRMR64L63G153S,LCKLPU63A14L248G,2021-09-09,07:27:00
STRLRY69C07E192Q,DDYNCY55H68G331W,2021-05-15,18:51:00
LMRGRG63B15G580A,PHLJSN62A18E213Z,2021-09-29,19:35:00
FNKCRL68P25D666Z,THMJTH73T54B844U,2021-07-30,22:12:00
BGYLSO52A48G663K,PRCRTR79L29L270U,2021-02-24,14:10:00
FRNGRD51M07G146L,NCHCRG65B09C503O,2021-01-05,00:13:00
PTRMLS95L01G492T,BRWPLN97H69G189W,2021-02-23,16:14:00
HRDSNY94C52M267B,VLNKHL81L44L146Q,2020-01-25,23:40:00
SMNZND76S52A398Q,CVRFRD95L63B418T,2020-01-15,18:49:00
YRYRLA94L13G204N,DVSBBR79S41M196G,2021-10-28,11:21:00
CVRFRD95L63B418T,PTRMLS95L01G492T,2020-03-29,16:35:00
WSSJNF88S47L039A,RSDWTR78C28G156H,2020-03-05,01:52:00
SLHSLV72P60D239O,XMEBBR59A42B171A,2021-01-09,21:36:00
MNGMVN93E11E576Y,HNSCLE92M26G447Q,2021-05-17,07:41:00
MYRLNL84M29G823I,DTHFNC93H03F707B,2021-03-18,15:57:00
NVRJPH90S21E904H,LPZRMR64L63G153S,2020-01-24,13:22:00
RMNMRY96C46H022U,GRFHRT66B27D284O,2021-09-21,20:49:00
HWKSVN87L31F455R,PTRMLS95L01G492T,2020-10-04,18:59:00
GRCJHN97C02I745A,WLLGDN82T25G459Y,2020-10-30,03:03:00
BRNLHE55R64C286K,TCKJYC58A44B774S,2020-10-06,12:23:00
PRKPRC59M42F793E,SKNJPH51S02C500E,2021-01-06,04:18:00
MYRWLM79B25A712W,BRBJFF97T18A202M,2020-01-02,05:26:00
JMSJHN61L30E689A,GMBDRK56D23E593M,2020-11-24,20:07:00
NVRJPH90S21E904H,KTHMRA59R57C816R,2020-09-10,15:07:00
RMNMRY96C46H022U,YRYRLA94L13G204N,2021-07-11,01:43:00
LLTLND50C14D853V,YTCRNN69P17A263F,2021-02-13,17:42:00
RSDWTR78C28G156H,GLLJRM87C31G580R,2020-05-04,05:38:00
RGRJLN85P04F599C,STJKNE55M03L673N,2021-01-04,15:46:00
YRYRLA94L13G204N,NDRSLY95E49A745P,2021-09-23,22:36:00
WLLNNA58A42C369H,WHLDWN60T17H599M,2020-04-18,11:33:00
LEEJNA98H48E638A,CLPJHN02H25H639J,2020-04-03,02:08:00
MRRTMS79B15C974V,WDWJNN67T25L440J,2021-01-05,22:11:00
CPRJHN86P01B167P,DTHFNC93H03F707B,2020-01-14,17:32:00
BRCMRY59A65H294I,DTHFNC93H03F707B,2020-07-10,05:16:00
PRKPRC59M42F793E,HRDSNY94C52M267B,2020-03-16,02:26:00
FLRCLS87M29I936O,BSTGLD89M31M371Q,2020-07-08,13:21:00
BRNLHE55R64C286K,STORBE83T53B535L,2020-12-23,20:28:00
GDYWDL63E17L500W,MCGSNY98M10A537X,2020-02-02,16:42:00
LMRGRG63B15G580A,HRDSNY94C52M267B,2020-07-03,12:28:00
JCBRCC50A63M420U,CLPJHN02H25H639J,2020-01-13,12:37:00
JCBRCC50A63M420U,SHLLLL52M71L389G,2020-03-07,01:28:00
NCHPGY58M48G421Q,STRBNC73A49G384I,2020-11-01,14:18:00
