CIF,Place,Room,Date,Duration
RSOKST80D68A670W,9613262,J.8.7,2020-06-01,15:29:00
KLLLCA97C53B149A,8982241,P.0.5,2021-07-06,03:20:00
NBLLND91M65B498A,7303538,,2020-11-27,19:26:00
BRGBRN99T28I412M,8967523,N.6.7,2021-08-10,19:57:00
MSSKVN91P19A176U,3207311,,2021-04-18,05:50:00
LYDPML95E61F401E,10626188,,2021-04-03,16:48:00
WLYMRT73A43L111K,8956432,I.8.8,2021-08-23,06:48:00
TRVCRS59T62I928K,3217778,Z.9.5,2021-08-08,01:00:00
WBBNCY71E42L247I,3183224,D.3.3,2020-02-19,14:07:00
NDRVVN53R50C820Z,6541464,,2021-04-07,19:05:00
KRZCMR97C71D821N,6541078,,2020-01-09,22:16:00
PTRTRY82D01F831G,8984890,,2020-03-30,17:41:00
HNDJSN78C02F045Z,3217778,Z.9.5,2020-01-22,02:45:00
BRRLRY73B20I181D,8354453,,2020-11-29,05:28:00
RDEJNU60C26A486I,6541464,,2020-12-18,18:52:00
JHNLBT85T69C628Z,8260210,,2020-09-02,00:30:00
JHNLLN93D26F171G,3165736,,2020-05-25,01:41:00
BRDCHR61A42G635T,9612285,R.6.5,2020-11-21,17:43:00
LLNLNE84T60F572O,6541464,,2020-03-01,23:32:00
JHNJSC79D65C060D,9612285,U.9.9,2020-10-08,13:22:00
FSHTRS53L65G352Z,11126481,,2021-07-05,00:51:00
QSNDLS02A24L136J,3207311,,2020-02-24,06:46:00
PHLDCS93E69D636G,9034008,L.8.7,2020-08-06,01:22:00
MLFKNT56T13E465I,11857076,,2021-05-24,11:06:00
JYNMHL87E09F376N,8961730,M.1.9,2020-06-16,23:26:00
LVNLZU02D54D471M,8967778,E.7.6,2020-06-28,23:13:00
PYELRY82P08E879R,11153961,U.0.0,2021-11-04,15:31:00
RMNCNN02P66G704E,11128077,,2020-09-10,14:01:00
PNZBRC71E13A815O,10114711,A.8.6,2021-05-04,10:11:00
MTSLLI93S61G166L,2523131,,2021-05-22,00:12:00
NMSRYA63R08C760A,9612931,R.6.8,2020-01-26,19:05:00
HRNMGR87H61C566B,8967778,N.7.4,2020-08-09,21:34:00
WRTJHN82R18H511G,8982241,Y.1.7,2020-03-04,01:02:00
VRYCRS62A53H859F,2525364,,2020-06-09,08:40:00
GRNJTN74H20F453Z,8984890,,2020-08-05,17:05:00
SVLSLD91R18E957D,11126481,,2020-07-11,05:13:00
KTABBR73C54E780F,3175603,T.9.8,2020-09-30,22:55:00
PRKSLL59B63L964H,7303538,,2020-06-04,23:13:00
SHPJNU68H41H726A,6542295,,2021-07-07,04:49:00
SWRVKY93T60G791K,3169263,K.5.0,2021-09-13,06:11:00
HNDJSN78C02F045Z,11126481,,2021-10-19,06:57:00
MRCRXO72E51A360N,3207311,,2020-08-26,16:30:00
MRRJSH65H02C384J,10626188,,2021-04-07,13:20:00
TRNNTL54S47L322I,8260210,,2021-07-14,19:45:00
HRRDMA85A11C166I,6542214,,2020-04-07,11:46:00
RYELNN63P68C280R,8956432,I.8.8,2021-05-01,21:29:00
RDRSPH92R26E933A,9612931,P.4.1,2021-05-23,08:04:00
NNSBRN55C07G541A,3174706,D.3.1,2021-08-09,10:47:00
JDNLND03P44C093N,3164450,,2020-12-15,16:30:00
HLMBND63P59F141W,10627265,,2020-01-21,09:10:00
FNISDY71S17G289A,8961730,M.1.9,2021-09-08,21:32:00
TRDVCK71S46E336W,6933445,,2020-07-28,20:06:00
MROKRN89C53L030I,3178423,,2020-06-09,10:04:00
RJOMGR94S57E944N,7289460,,2021-10-07,10:02:00
LNGMBR78M65B646C,9034008,L.8.7,2021-09-11,00:12:00
SNYDVD93H06C268X,3165293,,2020-08-18,12:43:00
RSNDMA82H16B537Z,2525364,,2020-04-21,15:23:00
RWDBBR85H61C933F,6541078,,2021-04-19,13:40:00
RYNJFR71P15C529I,8982241,Y.1.7,2021-06-04,18:55:00
PCKJSO91E10C324R,8967778,E.7.6,2020-03-03,10:41:00
PSQRBC51B58I333F,8959183,W.7.7,2020-11-01,15:21:00
SHRJNN53T70C819U,2522948,,2020-05-23,19:31:00
DNNDVD92E28B085C,8982241,D.7.4,2020-04-22,12:42:00
PRRRNE96B46G982Z,3172542,,2020-06-02,15:09:00
SPGJTH83D20E558P,9612931,R.6.8,2020-06-12,12:39:00
LYDPML95E61F401E,6299593,,2020-05-25,22:19:00
JCKRCH60S27F355A,11127383,,2021-11-08,02:34:00
GSSCRS58D17B481H,8966253,C.4.7,2021-09-10,03:41:00
JCKRCH60S27F355A,3172542,,2020-05-11,16:00:00
KLLLCA97C53B149A,2524528,,2021-10-25,09:57:00
RVRRYC70L29B661Q,3175603,N.8.6,2021-07-03,03:43:00
MSNRRT94E03D577Z,11126481,,2021-07-05,04:55:00
VRGTNY91R52I711P,2523131,,2020-02-02,01:47:00
WLLNDR97E01H250Z,3217778,Z.9.5,2021-09-26,18:31:00
MLMCRL83M22C698E,8952732,O.6.8,2020-08-08,21:26:00
FRGMTY81B17E752I,6540033,,2020-04-29,19:30:00
BRDJCK75A23L516Q,6697736,,2020-12-29,18:56:00
VRYJMS63P25M387U,6697736,,2020-05-25,08:29:00
CNNRSL58P19C398F,9412867,F.7.1,2020-03-25,19:23:00
SNTBTT98H55D267M,3172542,,2021-03-10,04:49:00
DLESHL96R64E570S,8982241,P.0.5,2021-04-24,20:18:00
KLLLCA97C53B149A,6542079,,2020-11-09,18:06:00
RCKCRL58L01E142T,8969613,H.3.9,2020-08-31,17:31:00
VRSBSY86L52E719C,2523131,,2020-03-04,00:24:00
HWRNKL66D53B809Y,8967523,J.2.5,2020-06-10,13:18:00
HYSTCY79H59M102F,6542214,,2020-09-09,01:09:00
RVRBNC84E67M271J,8961730,H.4.6,2020-02-29,10:47:00
KLLJFR98D09H212B,11126481,,2020-02-22,03:41:00
STKSRN70C44G511X,11127880,,2021-08-22,10:55:00
WBRRGR75L07C724X,3177891,,2020-08-28,04:34:00
SPLJSH50H02D518A,8967778,E.7.6,2020-04-09,09:42:00
TCKJNN64E67I407P,10626188,,2020-12-06,12:24:00
BRMBND66A01I690K,3164450,,2021-06-10,11:27:00
MCKMGR94R63E098P,2522948,,2021-06-07,09:03:00
BNDSML95T08A593Z,3207311,,2020-06-18,19:20:00
WRGRRT51C29D548X,6697736,,2021-10-07,01:39:00
STHSLL83D51H569G,8978564,T.4.9,2020-07-14,12:09:00
GYACRS82S04B540Z,8982241,D.7.4,2021-07-27,11:33:00
GRNJDY67H41F592L,9612285,R.6.5,2020-03-27,16:38:00
FXOFLR79P57H447F,3165736,,2020-09-27,02:06:00
HYMJHN68M17G838W,11857076,,2020-09-27,18:59:00
SHRVCK50E63A977N,3165736,,2020-01-14,05:08:00
HCKLSI52P64I421A,10292350,Q.6.2,2020-04-09,22:56:00
FLRLNT57B02E977A,3178947,T.9.8,2021-06-24,08:42:00
MRTHZL77P51H621Q,3170817,,2021-01-10,01:33:00
RSNDNS54E55B687Q,3174706,D.3.1,2020-02-08,18:56:00
LLNLNE84T60F572O,6541464,,2021-04-13,11:57:00
LVOJNY02R41F513A,11127383,,2020-01-05,21:48:00
KNDCRS56C50G039H,6541078,,2021-07-15,10:27:00
WSTRCE94T26G210T,3172542,,2020-02-04,23:22:00
FWLPRL68L54C882S,6540854,,2021-10-05,15:29:00
LTSLSN83H44G848P,8967523,J.2.5,2021-11-10,18:21:00
BRWKRN70S41G312S,8952732,O.6.8,2020-01-01,07:22:00
HRDNRW81S11L641R,8959183,W.7.7,2021-08-02,09:39:00
BRKCRL92P61F138V,6697736,,2020-10-22,23:10:00
THMKRN55H61L140X,10627265,,2021-11-09,09:46:00
GDLMTH92T42I191O,10114711,A.8.6,2021-07-16,03:20:00
CLOJNN03L68F990I,6542079,,2021-08-20,19:11:00
PRZTFN79A41H875J,9613262,J.8.7,2020-01-04,06:26:00
NLSLRO69L49G811Z,6538502,,2021-05-29,19:21:00
MNCDLD65M06D392T,8952193,H.8.2,2020-12-15,17:41:00
TRVCRS59T62I928K,3178947,T.9.8,2021-03-03,03:37:00
FNTMGN72D46F351M,6542295,,2021-10-11,21:11:00
BRSWRN54H04B415J,6540033,,2021-05-07,11:49:00
NGNPRC50T58L423V,3178423,,2020-05-18,19:40:00
CLRLSI01A56L455M,3178947,T.9.8,2021-05-11,00:46:00
YRSRCE89P24F773B,3165293,,2021-06-21,23:05:00
HRRLTT60P66G190L,9034008,L.8.7,2020-07-22,08:02:00
RMNCNN02P66G704E,10626188,,2020-06-12,08:04:00
BNKSNO82L68C862T,6541464,,2020-09-10,07:41:00
YNOLRO57C58M163Z,7303538,,2021-09-21,22:34:00
CLTCRS74T15G034W,8982854,,2020-10-15,22:01:00
HNDRRT62T16G931C,8969613,H.3.9,2020-12-14,08:50:00
BLCMXN96R66E178W,9612285,U.9.9,2021-07-21,06:20:00
DGGGVV91C43C872G,10376048,,2020-05-31,09:35:00
BRRLRY83A17G747X,11127622,,2021-07-24,21:25:00
WLLLXA74L21M350V,10114711,D.8.4,2021-08-12,23:00:00
MRRJSH65H02C384J,8982854,,2020-12-26,23:17:00
BDGDRD59L23M401K,3183224,D.3.3,2020-05-20,03:43:00
MNSJMS55S58F534Q,9612931,R.6.8,2021-11-12,12:08:00
TCKJNN64E67I407P,3172542,,2020-05-14,00:51:00
NDRVVN53R50C820Z,8260210,,2021-10-30,07:31:00
PRTTRY64C04I172I,8952732,O.6.8,2020-05-02,15:27:00
GBRJMS57B07I591G,8956432,I.8.8,2020-08-12,16:38:00
CRTCRL80H13D899X,8978564,T.4.9,2021-02-24,15:30:00
MSSMND56R59F770K,6541078,,2021-10-05,19:58:00
SMMJSS78C22I443Q,8952732,O.6.8,2020-08-06,08:15:00
GBRCVN74S28I701Y,6541464,,2020-11-20,06:09:00
QSNRYO70M18H026X,10114711,D.6.5,2021-04-10,19:49:00
WTTCDY85P69L353Q,10114711,D.6.5,2021-04-23,13:22:00
SPGCST92D14C418Q,2522948,,2021-09-17,19:10:00
LYNRND76C10G274P,3169263,K.5.0,2020-05-17,06:24:00
WSTLSO59A06H013P,3207311,,2020-09-28,07:52:00
GDLMTH92T42I191O,6540854,,2021-08-17,07:28:00
BNTRTH94A61C024H,8961730,H.4.6,2021-08-23,15:31:00
TMBBRL00A66G888R,8982241,P.0.5,2020-01-09,05:46:00
QSNDLS02A24L136J,8966253,C.4.7,2021-05-17,15:26:00
TRRLNO87T70M371C,3178423,,2020-10-25,10:31:00
KSSSSN73T70A764T,3174706,D.3.1,2020-01-10,07:37:00
LVNLZU02D54D471M,11153961,U.0.0,2021-08-22,16:43:00
LWYMHL92M08D472S,8967523,N.6.7,2021-02-24,08:09:00
FSHTRS53L65G352Z,3170817,,2020-07-24,04:54:00
WGNBTY87A50L603X,8199505,,2020-03-02,10:50:00
CRCNAA54P52A405P,6542214,,2021-03-15,13:27:00
MRCRSO60A56D911O,9034008,L.8.7,2020-02-26,02:29:00
SKVJMI82L05B956R,6542214,,2020-08-03,06:00:00
GRRCRL87D16A561Z,9612605,Z.9.4,2020-05-29,12:04:00
PRKDLD03P15M333E,6540854,,2021-02-25,23:53:00
DRVGLD59E16M080M,8967523,J.2.5,2021-06-05,12:04:00
BNDSHR64D68E328Z,8966253,C.4.7,2020-10-12,23:40:00
LRRMRY94B49G260L,8967523,N.6.7,2020-06-17,02:28:00
JCHGRC69E65A321N,6697736,,2020-03-06,05:35:00
SNYDVD93H06C268X,3217778,Z.9.5,2021-01-27,02:04:00
BLLCSY80S66C813E,10114711,I.8.7,2020-02-16,14:28:00
RCHSRN94L53D750D,3175603,N.8.6,2021-03-03,06:02:00
